,width,height,class,xmin,ymin,xmax,ymax
98,1920,803,B1,444,105,1519,328
99,1920,803,B1,509,1,1434,227
100,2100,1498,F15,158,297,496,772
101,2100,1498,F15,497,538,814,981
102,2100,1498,F15,951,818,1249,1220
103,2100,1498,F15,1272,583,1575,1009
104,2100,1498,F15,1637,326,1941,778
105,2048,1630,A10,1,625,2048,1441
106,2689,1793,JAS39,420,634,1381,1196
107,4096,2731,F4,1989,1074,3961,1902
108,596,380,F16,1,36,596,352
109,1000,667,F18,646,290,774,341
110,1200,800,V22,525,482,841,596
111,2092,1492,Vulcan,471,590,1098,1156
112,1280,853,B52,505,361,746,420
113,2100,1500,AV8B,875,419,1844,807
114,900,1200,C130,294,607,650,750
115,2621,1747,V22,1,1,2557,1174
116,2621,1747,V22,2021,479,2621,972
117,1200,1200,V22,280,317,323,339
118,1280,621,C130,269,231,571,430
119,1280,621,E2,975,303,1172,428
120,4096,2731,F16,1,205,4096,1893
121,1242,1547,B2,1,1,1242,1547
122,4096,2734,A10,1,1,4096,2734
123,512,384,F14,1,23,512,293
124,1750,984,F18,793,176,1462,664
125,900,600,Su57,164,133,746,307
126,950,632,C17,99,157,434,261
127,4096,2304,B1,2322,316,2443,411
128,4096,2304,B2,2410,209,2580,282
129,4096,2304,B52,2644,192,2836,301
130,600,400,Be200,1,51,600,394
131,1200,800,V22,610,153,963,587
132,1200,647,C130,739,530,999,637
133,1200,647,C130,267,534,632,638
134,1200,647,C130,1,596,189,638
135,1121,1167,A400M,23,569,1059,981
136,1121,1167,A400M,202,139,834,687
137,800,533,Be200,282,174,475,423
138,1024,683,Su34,268,256,484,343
139,1832,944,C17,584,234,1489,530
140,1920,1281,C130,671,146,1293,289
141,1200,900,V22,423,402,565,467
142,4096,2734,F18,2574,858,2762,990
143,4096,2734,F18,2195,869,2383,1003
144,4096,2734,F18,1792,873,1980,1008
145,4096,2734,F18,1332,815,1520,957
146,4096,2734,F18,833,829,1023,964
147,1200,1200,V22,647,521,973,768
148,1920,1281,F4,209,426,1325,842
149,1300,867,Be200,401,73,906,409
150,1080,1080,Rafale,101,325,203,361
151,1080,1080,Rafale,48,167,140,200
152,1080,1080,B52,267,103,556,233
153,1199,554,XB70,302,203,822,376
154,1590,1062,F4,15,265,1590,801
155,1280,1012,XB70,1,468,1280,861
156,563,451,XB70,14,134,544,290
157,1200,900,US2,614,390,795,443
158,1048,880,AG600,25,147,727,354
159,1080,1080,US2,133,516,920,866
160,800,641,F16,245,427,686,594
161,800,641,F4,292,311,694,415
162,800,641,Mirage2000,396,176,635,267
163,800,641,F15,1,184,321,278
164,2048,1536,JAS39,797,707,949,770
165,2048,1536,JAS39,1116,665,1270,728
166,1200,800,Su57,183,74,961,724
167,1200,936,C130,711,475,1177,778
168,1200,683,F35,587,477,738,543
169,1200,683,F35,587,400,914,482
170,1200,683,F35,728,274,1200,420
171,4096,2730,A10,2603,706,2959,1295
172,2048,1364,F22,1352,873,1561,1143
173,2488,1483,Vulcan,812,265,1967,1257
174,1140,760,J20,247,1,811,277
175,1140,760,J20,145,161,914,660
176,1800,1200,C17,434,249,718,382
177,1080,1312,C17,12,1051,824,1312
178,1080,1312,C17,76,813,847,1070
179,1080,1312,C5,41,542,1070,845
180,1080,1312,C130,174,459,618,612
181,1080,1312,C130,241,275,664,423
182,1080,1312,C130,281,109,689,249
183,1080,1312,C130,334,1,723,91
184,1000,667,B2,50,418,952,519
185,2000,1333,B2,617,377,867,967
186,1840,3264,Vulcan,621,659,1036,895
187,1500,1000,US2,716,412,1098,528
188,1600,1066,F35,1315,265,1444,399
189,1620,1080,AG600,114,179,1468,799
190,800,533,U2,56,143,719,422
191,640,430,V22,61,95,476,279
192,1200,755,A10,82,206,1099,498
193,1280,711,F16,91,191,1184,542
194,1280,848,F22,310,230,1011,545
195,720,480,C130,10,112,524,297
196,1280,720,US2,64,188,1203,537
197,1280,853,SR71,1,1,1280,853
198,900,600,C5,9,61,807,313
199,768,1024,F35,367,227,691,362
200,1920,1371,B52,1562,723,1784,801
201,1920,1371,B52,1394,792,1601,864
202,1920,1371,B52,1373,653,1571,725
203,1920,1371,B52,990,795,1202,864
204,1920,1371,B52,1000,648,1183,719
205,1920,1371,B52,542,790,768,861
206,1920,1371,B52,616,644,801,716
207,1920,1371,B52,87,789,340,860
208,900,530,B1,261,23,798,184
209,673,1024,F4,269,615,625,803
210,1334,2000,Rafale,1,1,1334,1568
211,1152,807,F4,41,42,795,270
212,1152,807,F4,596,385,999,501
213,1152,807,F4,732,479,1052,542
214,1920,1104,B52,425,358,1920,858
215,2400,1591,SR71,271,288,1792,569
216,1108,1108,F15,368,56,858,866
217,750,500,EF2000,74,128,688,399
218,4096,1201,B52,2347,393,2768,508
219,4096,1201,B52,1175,428,1716,564
220,4096,1201,B52,162,774,1339,1123
221,4096,1201,B52,3261,664,4096,958
222,4096,1201,B52,2833,547,3615,762
223,1124,340,RQ4,820,107,1109,149
224,1200,1200,V22,581,576,654,643
225,1280,853,Rafale,229,81,499,202
226,1280,853,Rafale,786,58,1078,191
227,1080,1350,JAS39,288,1023,941,1234
228,1080,1350,JAS39,111,671,472,874
229,1080,1350,JAS39,358,405,673,579
230,1080,1350,JAS39,568,222,857,374
231,1200,1200,U2,1,110,1200,569
232,1000,667,A10,734,174,829,209
233,1280,720,Mirage2000,848,103,999,179
234,1280,720,Mirage2000,27,223,640,533
235,1920,1054,F15,721,443,945,627
236,1920,1054,F15,1055,375,1256,532
237,1920,1054,Mirage2000,1553,289,1665,381
238,1920,1054,Mirage2000,210,233,326,324
239,1920,1054,Rafale,375,333,532,456
240,1920,1054,Rafale,1318,324,1463,435
241,1440,1792,F18,1,1,1440,1713
242,700,467,J20,180,103,301,297
243,1366,911,Mirage2000,611,422,737,606
244,1366,911,Mirage2000,679,422,813,602
245,3499,2333,Tornado,101,386,3414,1949
246,1920,2880,Mirage2000,139,1,1744,1431
247,950,534,J20,468,169,908,306
248,950,534,J20,95,226,600,376
249,1024,683,Tu95,15,89,1024,429
250,873,346,J20,162,282,241,303
251,873,346,J20,159,227,230,245
252,873,346,J20,138,189,208,209
253,873,346,J20,119,162,184,179
254,873,346,J20,344,192,413,211
255,873,346,J20,793,237,865,257
256,873,346,J20,586,220,657,238
257,873,346,J20,295,60,505,125
258,680,1024,C130,466,46,586,102
259,6720,4480,F35,4118,1973,6498,2931
260,6720,4480,AV8B,77,1949,3338,2884
261,1600,901,Tu95,888,380,1188,461
262,1600,901,Tu95,137,304,440,384
263,1600,901,Tu95,623,175,934,259
264,1200,800,Rafale,100,202,674,664
265,1920,2400,A10,799,373,910,617
266,5618,3745,V22,2370,2512,3193,2883
267,900,1200,US2,464,743,559,824
268,1280,720,AG600,306,294,1206,632
269,3600,2484,B2,1312,768,3038,980
270,4096,2731,U2,1,595,4096,2731
271,2048,1366,Tornado,1409,742,1769,865
272,2048,1366,Tornado,1,601,956,936
273,1280,698,C130,897,176,1205,405
274,1280,698,C130,525,181,834,408
275,1280,698,C130,145,178,458,407
276,1600,1200,Rafale,579,415,1002,673
277,1280,1024,MQ9,1,1,1280,986
278,2048,1323,B52,248,338,883,500
279,2048,1323,B1,120,638,665,802
280,2048,1323,B1,1097,634,1741,793
281,1932,1366,Vulcan,1000,280,1177,431
282,1920,1298,AG600,13,1,1920,1159
283,1400,932,Mirage2000,124,283,1252,727
284,1200,600,J20,38,257,475,471
285,1200,600,J20,711,150,1140,366
286,624,552,F117,67,128,518,203
287,2000,1334,JAS39,982,603,1939,929
288,2000,1334,JAS39,52,308,1531,1035
289,620,380,Tu160,92,161,521,237
290,5568,3712,C130,514,1545,3255,2655
291,1200,800,A400M,386,313,845,470
292,680,454,C5,138,105,475,336
293,1280,1260,XB70,101,339,1170,634
294,960,720,Vulcan,1,195,933,542
295,1200,797,F4,460,614,646,664
296,1200,675,V22,671,339,698,352
297,1024,768,Be200,5,285,1024,576
298,2048,1238,F35,747,361,1987,770
299,2048,1238,F35,158,351,1777,807
300,2656,1676,F16,1249,853,1404,913
301,4096,2719,Tu160,216,721,3797,1413
302,1155,773,F18,113,325,1043,668
303,694,1227,Vulcan,332,587,480,631
304,3000,2400,F15,483,888,2435,1656
305,3861,2946,J20,2072,2275,2473,2610
306,3861,2946,J20,2206,1356,2629,1722
307,3861,2946,J20,2366,399,2812,800
308,3861,2946,J20,1036,784,1467,1172
309,1032,737,F18,69,60,939,686
310,1000,1393,B52,113,198,835,669
311,2048,1365,V22,220,1053,288,1091
312,2048,1365,V22,287,968,369,1009
313,2048,1365,V22,359,883,447,925
314,2048,1365,V22,459,767,542,816
315,2048,1365,V22,594,616,699,668
316,2048,1365,V22,792,434,907,501
317,2048,1365,V22,952,247,1076,315
318,2048,1365,V22,1110,342,1212,408
319,2048,1365,V22,1294,523,1403,577
320,2048,1365,V22,1518,693,1611,746
321,2048,1365,V22,1679,837,1776,885
322,2048,1365,V22,1812,959,1900,1003
323,1000,363,SR71,233,138,521,221
324,1000,363,SR71,618,144,904,235
325,1200,800,Tu160,312,407,847,506
326,1600,900,Tu160,123,225,466,337
327,1366,768,Su57,243,454,913,673
328,4096,2730,F16,2460,321,3049,1527
329,550,390,Su57,121,22,439,315
330,900,665,RQ4,122,175,583,260
331,911,1139,V22,41,1,845,1139
332,1023,683,EF2000,340,160,988,458
333,1023,683,EF2000,34,493,200,650
334,1665,1052,F117,843,515,941,553
335,1000,666,B1,190,395,424,439
336,1000,666,B1,518,243,803,304
337,1000,666,F18,380,318,533,362
338,986,1500,SR71,10,42,862,187
339,1728,1152,Mirage2000,329,488,1139,779
340,1536,862,MQ9,109,375,1021,552
341,2000,1240,B2,888,271,1460,868
342,2000,1240,F22,827,172,1191,325
343,2000,1240,F22,243,1020,665,1210
344,1200,799,US2,1,1,1200,637
345,1920,1080,F16,18,650,455,780
346,1920,1080,F18,540,563,1006,704
347,1920,1080,F18,978,443,1559,577
348,1920,1080,Rafale,745,189,1565,521
349,1200,800,F18,488,207,690,579
350,1536,864,A10,1257,95,1318,117
351,900,1200,US2,375,504,428,554
352,1280,690,A400M,33,222,893,578
353,1200,1600,Mig31,1,642,753,1519
354,1200,1600,Mig31,807,386,1109,802
355,1024,732,V22,357,78,1006,346
356,1024,681,Rafale,1,1,605,604
357,1620,1080,US2,827,498,1470,634
358,4900,3265,Tornado,29,665,4768,2292
359,970,693,C5,405,1,970,513
360,970,693,F22,160,306,758,537
361,1600,800,A400M,122,262,1533,674
362,989,660,F117,115,45,852,660
363,1024,683,Tu160,214,393,515,541
364,1024,683,EF2000,778,289,924,341
365,590,800,F22,16,392,582,724
366,2714,1791,J20,272,528,2209,1205
367,785,633,YF23,19,104,768,361
368,1200,803,AV8B,520,272,614,492
369,1200,800,V22,1,1,1141,718
370,2380,1728,US2,221,510,2338,1318
371,2100,1400,US2,741,832,1471,1046
372,1200,600,V22,663,45,712,95
373,960,640,C5,1,359,735,571
374,960,640,C17,441,363,915,519
375,1024,781,EF2000,392,264,791,577
376,1920,2400,A10,840,505,1225,964
377,6000,4000,F16,2746,2306,2967,2634
378,1200,900,V22,566,497,609,526
379,1280,752,B1,77,137,1224,571
380,634,423,Su34,219,71,523,218
381,2953,2000,F16,1178,918,1326,1062
382,2953,2000,F16,546,1339,1012,1867
383,2953,2000,F16,1981,845,2458,1247
384,2953,2000,F16,732,125,2359,1508
385,2953,2000,F16,920,920,1098,1072
386,2953,2000,F16,263,417,1049,1136
387,1594,1944,F117,853,1791,949,1822
388,1594,1944,F117,734,1768,830,1799
389,1594,1944,F117,616,1742,713,1771
390,1594,1944,F117,501,1786,598,1816
391,1594,1944,F117,349,1839,444,1873
392,1594,1944,F117,1012,1358,1114,1393
393,1594,1944,F117,847,1350,950,1384
394,1594,1944,F117,734,1329,837,1367
395,1594,1944,F117,593,1372,696,1407
396,1594,1944,F117,435,1419,537,1455
397,1594,1944,F117,1072,1052,1180,1096
398,1594,1944,F117,912,1020,1021,1061
399,1594,1944,F117,784,993,895,1033
400,1594,1944,F117,633,1042,743,1081
401,1594,1944,F117,516,1094,626,1136
402,1594,1944,F117,1119,669,1235,708
403,1594,1944,F117,942,650,1058,689
404,1594,1944,F117,826,626,942,668
405,1594,1944,F117,705,670,821,711
406,1594,1944,F117,545,703,660,740
407,1594,1944,F117,1299,150,1425,198
408,1594,1944,F117,1043,123,1170,168
409,1594,1944,F117,894,80,1020,128
410,1594,1944,F117,706,147,832,193
411,1594,1944,F117,547,202,672,248
412,2644,1983,Su34,477,515,827,684
413,3840,2160,J20,648,920,1409,1132
414,3592,2394,F16,459,707,3592,1798
415,720,281,SR71,259,127,526,228
416,3840,2160,A400M,816,1183,1512,1503
417,3840,2160,A400M,1868,1207,2552,1502
418,3840,2160,A400M,2095,621,2823,958
419,3840,2160,A400M,1013,474,1747,829
420,1920,1193,F16,1520,531,1833,780
421,1920,1193,F16,1118,272,1426,533
422,1920,1193,F16,782,623,1087,878
423,1920,1193,F16,644,87,958,352
424,1920,1193,F16,417,337,725,591
425,1920,1193,F16,144,636,445,886
426,1440,810,F117,973,73,1378,736
427,1440,810,F117,62,83,877,704
428,1440,810,F35,45,493,467,773
429,1440,810,F35,616,37,1021,377
430,950,592,F16,78,30,805,559
431,1920,1280,B52,83,294,1920,898
432,840,444,B2,195,227,714,315
433,1829,2560,F22,1178,571,1450,1001
434,1829,2560,A10,829,1076,1144,1629
435,1829,2560,F35,405,1963,656,2268
436,3627,2268,JAS39,2447,1279,3082,1554
437,3627,2268,JAS39,515,904,1144,1194
438,2048,1152,XB70,721,538,1340,781
439,2560,1709,A400M,914,260,2377,1186
440,1100,825,B2,342,302,1100,506
441,1875,1250,JAS39,691,635,1183,804
442,3124,2083,Tu95,2366,478,3040,746
443,3124,2083,Tu95,1155,1039,1809,1298
444,3124,2083,Tu95,61,1088,757,1361
445,1280,720,C17,514,71,786,145
446,7099,3188,A10,1559,1653,3798,2341
447,1657,2048,A10,446,158,1129,1700
448,440,550,Mig31,224,163,408,207
449,800,450,B2,1,146,800,450
450,2881,1921,V22,1,41,2862,1368
451,2881,1921,V22,1048,121,2871,837
452,2881,1921,V22,1939,91,2849,480
453,1088,725,AV8B,271,281,537,396
454,1280,720,Su57,203,199,1193,433
455,1024,683,EF2000,549,133,1024,683
456,1260,1232,J20,164,79,1078,1179
457,1280,822,C130,262,428,1170,623
458,2048,1365,Be200,1072,607,1970,825
459,1920,1536,B2,36,488,1808,747
460,1000,666,B2,415,11,1000,247
461,1041,757,US2,169,409,508,519
462,678,381,Su57,399,22,625,194
463,678,381,Su57,281,56,317,99
464,678,381,Su57,213,191,247,230
465,678,381,Su57,137,309,168,341
466,2000,1333,Rafale,35,570,1515,1108
467,2000,1333,A400M,1,242,2000,1074
468,3264,1840,Vulcan,984,5,2119,1275
469,1657,1105,AV8B,650,597,859,648
470,960,621,Vulcan,46,100,907,482
471,1024,576,V22,572,427,610,445
472,1080,768,JAS39,302,333,774,587
473,1000,667,F35,66,259,786,461
474,4800,3840,A400M,165,91,4669,3752
475,2098,1499,F35,808,888,2027,1202
476,2098,1499,F35,684,681,1717,953
477,2098,1499,F18,481,465,1452,718
478,2098,1499,F18,340,285,1186,511
479,1400,673,C17,433,61,1340,400
480,960,720,US2,57,493,305,549
481,960,720,US2,510,333,954,579
482,960,720,US2,666,6,955,77
483,3566,1781,F16,2545,1301,2760,1593
484,805,1200,F117,212,447,631,985
485,1200,801,F16,122,360,227,524
486,1200,801,F16,1012,362,1132,538
487,1200,801,C130,314,160,751,502
488,672,1024,E2,68,216,463,335
489,612,408,Be200,467,5,525,53
490,1440,960,A10,865,245,993,367
491,1080,1350,A10,221,430,396,635
492,4096,2652,F4,243,1645,828,2309
493,4096,2652,F4,1040,915,1631,1598
494,4096,2652,F4,1955,248,2552,969
495,4096,2652,F4,3361,678,3965,1386
496,650,500,A10,12,51,306,164
497,650,500,F35,436,98,644,184
498,960,1281,F18,1,610,787,1093
499,960,1281,F18,1,481,879,867
500,960,1281,F18,109,324,960,711
501,960,1281,F18,223,148,960,485
502,1200,800,C130,638,151,799,250
503,1200,800,C130,188,606,258,643
504,1200,800,C130,949,554,1043,602
505,1200,800,C130,882,456,998,516
506,1200,800,C130,607,596,685,637
507,1200,800,C130,446,395,545,450
508,1200,698,Su57,92,274,899,459
509,564,877,F18,25,33,535,801
510,2100,3088,U2,527,523,1144,757
511,1920,1281,F4,348,471,1446,797
512,1528,1080,F14,60,686,673,956
513,1528,1080,F14,196,348,679,503
514,1528,1080,F14,858,783,1438,979
515,1528,1080,F14,824,355,1360,692
516,1528,1080,F14,823,91,1080,287
517,1528,1080,F14,1102,74,1448,331
518,6627,4418,V22,1345,859,2931,1775
519,2346,1411,C17,971,852,1191,1053
520,2346,1411,C17,683,793,901,991
521,2346,1411,C17,908,236,1130,357
522,780,520,U2,1,30,780,320
523,680,460,B2,41,131,680,357
524,1400,933,SR71,413,321,989,479
525,1920,1278,EF2000,836,493,1822,968
526,1500,1000,AV8B,337,336,1476,811
527,5616,3744,AV8B,3587,1267,3944,1414
528,1000,500,Mig31,1,128,511,333
529,1000,500,SR71,512,41,945,444
530,2000,1584,Rafale,1136,495,1392,776
531,2000,1584,Rafale,386,845,630,1127
532,888,1280,US2,118,59,532,216
533,7048,4648,C130,3362,1902,6155,2908
534,2731,4096,F35,1007,2284,1232,2378
535,1920,1281,Mirage2000,393,225,1595,909
536,2000,1333,B2,663,395,1416,832
537,1600,1061,B52,544,719,1165,841
538,1600,1061,B52,1116,186,1239,208
539,1600,1061,B52,256,165,460,208
540,2048,1536,Rafale,54,752,942,1124
541,2048,1536,Rafale,1102,759,1958,1131
542,1920,1281,B2,54,758,1849,1058
543,2048,1154,F16,234,574,701,791
544,2048,1154,F16,1174,608,1604,774
545,2048,1154,US2,930,563,1045,605
546,1192,810,Rafale,350,512,847,704
547,1192,810,Rafale,413,398,632,480
548,1192,810,F18,237,408,431,471
549,1192,810,F18,696,423,1043,530
550,800,597,U2,413,235,527,305
551,1200,900,F18,69,190,1200,673
552,732,720,Be200,177,353,243,384
553,2140,1227,Vulcan,884,286,1160,492
554,1300,868,U2,433,478,831,578
555,2048,1682,EF2000,170,155,1584,1167
556,1600,1200,Rafale,190,455,1424,946
557,1600,1200,Be200,208,202,1100,485
558,2250,1500,RQ4,279,818,736,1038
559,1616,1080,Tornado,775,527,821,561
560,2048,1363,C5,218,740,1512,1070
561,2048,1502,F16,143,310,1752,1036
562,1024,576,F4,242,320,568,413
563,564,252,F4,151,124,538,217
564,564,252,SR71,32,62,536,142
565,4555,3032,F16,145,1192,3135,2114
566,1280,850,C17,526,106,799,203
567,1200,800,C130,709,461,1200,617
568,1200,800,V22,548,413,1104,609
569,1200,800,V22,192,381,947,601
570,1536,864,A10,969,679,1121,708
571,1536,864,A10,269,101,544,158
572,2000,1490,J20,94,26,1036,1321
573,2000,1490,J20,848,262,1892,1490
574,1600,1066,F16,194,820,812,1022
575,1600,1066,EF2000,815,180,1115,294
576,1280,759,F22,99,119,402,240
577,1280,759,F35,366,126,814,252
578,1549,2000,Mirage2000,470,848,1283,1300
579,1200,856,US2,636,317,988,448
580,1360,853,F35,191,304,1028,666
581,1360,853,F35,1022,413,1322,535
582,1920,1280,C130,1,18,1920,1201
583,1000,667,F15,26,144,963,536
584,1280,720,JAS39,1,79,993,670
585,3000,2174,B1,53,1129,318,1253
586,3000,2174,B1,2430,703,2728,863
587,2559,1706,F16,1,919,1977,1565
588,2559,1706,A400M,1,288,2338,1070
589,1280,853,Su57,235,38,764,387
590,1280,853,Su57,579,439,1079,776
591,1920,1284,Tornado,213,193,1841,1084
592,1200,799,AV8B,522,96,629,166
593,1200,799,AV8B,533,153,647,221
594,1200,799,AV8B,546,208,671,294
595,1200,799,AV8B,570,305,712,407
596,1200,799,C130,317,395,1041,753
597,564,445,F117,54,78,501,413
598,1080,720,F15,70,293,532,610
599,1080,720,F15,812,14,980,111
600,564,376,SR71,92,93,549,293
601,1000,667,V22,669,304,750,341
602,1000,667,V22,469,291,547,325
603,1000,667,V22,379,249,449,279
604,800,533,US2,161,113,264,143
605,1440,2560,A10,691,131,1082,517
606,3120,2229,F15,1031,1003,3003,1769
607,1280,960,Rafale,1,309,619,673
608,1280,960,Rafale,606,349,1280,567
609,3500,2329,J20,365,623,861,817
610,3500,2329,J20,2562,1279,3061,1491
611,1600,1065,F14,317,648,499,701
612,1600,1065,F14,576,591,776,646
613,1600,1065,F14,647,582,816,623
614,1600,1065,F14,718,475,942,537
615,1600,1065,F14,849,461,1043,513
616,1600,1065,F14,974,459,1135,498
617,1600,1065,F14,1041,431,1249,485
618,1600,1065,F14,1105,401,1293,450
619,1600,1065,F14,1250,357,1452,408
620,2000,1125,F18,272,736,1115,1041
621,4096,1964,F35,950,1643,1418,1793
622,4096,1964,F35,1307,1305,1745,1447
623,4096,1964,F35,1622,1050,2034,1173
624,4096,1964,F35,1812,869,2207,985
625,4096,1964,F22,1664,522,2111,670
626,4096,1964,F22,1250,405,1687,543
627,4096,1964,F22,869,298,1298,430
628,4096,1964,F22,492,216,914,345
629,3622,2037,Mirage2000,2227,1192,2568,1603
630,1536,2048,EF2000,152,801,1318,1143
631,2126,1535,Tornado,66,486,2126,1296
632,900,1200,V22,453,574,476,587
633,900,1200,V22,433,532,460,547
634,900,1200,V22,445,455,475,473
635,1266,846,EF2000,193,172,979,533
636,1200,800,C130,1,1,1200,800
637,4096,2734,B1,1,444,4096,1953
638,960,642,C5,216,297,511,377
639,910,650,F14,40,343,768,544
640,910,650,SR71,9,226,882,361
641,3276,2185,JAS39,719,844,2593,1429
642,2048,1848,A400M,785,221,1903,1046
643,3746,2480,F18,468,840,1153,1375
644,3746,2480,F18,1396,1087,2340,1698
645,3746,2480,F18,2631,801,3259,1378
646,2048,1484,Tu95,756,764,1233,896
647,1920,1281,F16,195,343,1679,855
648,2250,1500,Su34,17,365,2115,1233
649,1280,850,F16,10,213,1262,658
650,1440,900,Tu160,489,472,913,620
651,1200,800,Mirage2000,43,143,1172,563
652,1080,1080,C5,418,391,912,525
653,1920,1275,US2,839,217,1020,286
654,2725,4096,F16,1,1,2725,4096
655,5685,3874,XB70,844,1207,5685,3874
656,1136,852,B2,77,388,418,475
657,1136,852,F15,1,378,1136,689
658,1136,852,F15,406,251,1069,412
659,1200,1200,V22,502,822,652,891
660,600,399,EF2000,128,46,490,297
661,1280,853,F16,879,357,1105,431
662,1280,853,F16,667,389,898,465
663,1280,853,F16,411,435,647,514
664,1280,853,F35,49,535,311,602
665,1200,800,V22,216,138,930,506
666,3655,2056,Su34,1616,786,2283,1150
667,1284,722,US2,66,1,1284,722
668,4515,3010,MQ9,2700,1561,3493,1857
669,2048,1365,Mirage2000,323,397,1727,983
670,3005,2254,Be200,143,456,2818,1734
671,900,500,Be200,1,113,675,304
672,436,600,YF23,49,376,304,546
673,436,600,YF23,129,29,386,169
674,1200,721,Mig31,75,320,585,465
675,1080,1920,JAS39,111,873,441,1167
676,1080,1920,JAS39,494,1201,896,1528
677,1080,1920,JAS39,568,568,1013,934
678,1080,1920,JAS39,180,318,551,648
679,1200,675,EF2000,194,145,1072,428
680,825,733,A10,541,224,581,242
681,825,733,A10,1,250,356,402
682,900,605,JAS39,288,195,509,301
683,1280,853,F16,93,189,1202,679
684,2560,1707,MQ9,422,574,2131,1117
685,1493,933,J20,202,332,833,677
686,2048,1356,E2,1018,333,1557,537
687,1742,1080,Su34,406,297,970,637
688,1080,720,AG600,209,284,911,480
689,512,325,SR71,1,1,512,325
690,4896,2560,EF2000,1317,997,3211,2350
691,4896,2560,EF2000,1828,179,4005,1642
692,1600,1067,Be200,1,202,1600,905
693,1720,1160,C130,237,547,1637,884
694,1720,1160,C130,435,493,870,610
695,2588,1725,Be200,188,562,2321,1143
696,2560,2007,F15,400,565,1971,1530
697,2000,1334,F16,6,546,782,776
698,2000,1334,Tornado,900,373,2000,990
