,width,height,class,xmin,ymin,xmax,ymax
145,2048,1365,JAS39,439,821,1960,1249
146,2048,1371,JAS39,98,424,1906,892
147,2000,1333,JAS39,69,299,1971,831
148,2048,1323,JAS39,1309,74,2028,663
149,1109,739,JAS39,70,58,1028,639
150,1500,969,JAS39,145,78,241,148
151,1500,969,JAS39,327,308,420,374
152,1500,969,JAS39,478,492,566,554
153,1500,969,JAS39,616,672,704,731
154,1500,969,JAS39,777,872,860,929
155,1500,969,JAS39,1337,700,1427,761
156,1500,969,JAS39,994,522,1082,585
157,1500,969,JAS39,460,100,555,169
158,1500,969,JAS39,684,109,777,179
159,1500,969,JAS39,939,126,1033,195
160,1500,969,JAS39,1176,146,1271,214
161,1024,1536,JAS39,136,487,967,1003
162,3960,2646,JAS39,1073,961,2681,1527
163,3960,2646,JAS39,721,1145,2307,1689
164,1366,911,JAS39,652,351,839,615
165,1024,716,JAS39,58,168,979,461
166,885,1328,JAS39,361,786,847,1008
167,879,1227,JAS39,140,95,699,1083
168,1440,960,JAS39,107,142,971,798
169,1060,706,JAS39,58,196,968,425
170,3456,2304,JAS39,1691,1063,2021,1207
171,498,550,JAS39,1,79,498,503
172,4160,3120,JAS39,1050,324,1799,824
173,683,1023,JAS39,101,220,589,935
174,2048,1365,JAS39,169,769,549,893
175,2048,1365,JAS39,125,908,440,1009
176,1600,1078,JAS39,521,363,1370,828
177,1280,856,JAS39,43,79,1264,693
178,1903,1234,JAS39,1041,295,1825,743
179,1903,1234,JAS39,78,448,944,893
180,1280,996,JAS39,161,85,386,459
181,1920,1080,JAS39,390,753,632,813
182,1920,1080,JAS39,633,655,848,710
183,1024,678,JAS39,653,180,815,299
184,1920,1280,JAS39,379,518,1318,969
185,1280,853,JAS39,49,214,1202,547
186,1280,856,JAS39,32,170,1007,575
187,640,640,JAS39,129,422,170,463
188,640,640,JAS39,119,351,161,393
189,640,640,JAS39,55,360,95,401
190,640,640,JAS39,56,415,96,456
191,950,672,JAS39,1,23,950,554
192,950,672,JAS39,734,397,766,414
193,4096,2731,JAS39,784,952,3665,1800
194,1365,2048,JAS39,683,709,1149,1914
195,640,588,JAS39,31,121,624,453
196,1000,667,JAS39,206,185,396,240
197,1000,667,JAS39,370,175,605,243
198,1000,667,JAS39,607,155,923,243
199,4256,2832,JAS39,1,1,4256,1854
200,1992,1328,JAS39,45,577,1369,938
201,1992,1328,JAS39,1198,369,1890,835
202,2048,1366,JAS39,849,356,1282,546
203,1024,682,JAS39,1,149,673,373
204,2048,1365,JAS39,327,357,872,917
205,2048,1365,JAS39,1237,488,1792,1081
206,1280,827,JAS39,440,52,769,721
207,654,816,JAS39,1,431,647,587
208,798,532,JAS39,16,40,776,313
209,3028,2018,JAS39,934,957,1324,1151
210,2326,1854,JAS39,70,720,2281,1762
211,2048,1365,JAS39,809,1059,1027,1123
212,1600,1022,JAS39,408,164,1461,586
213,3681,2146,JAS39,2098,1544,2481,1635
214,3681,2146,JAS39,1901,1608,2916,1830
215,1280,906,JAS39,35,263,1208,655
216,681,1024,JAS39,410,469,681,866
217,1280,752,JAS39,784,64,916,352
218,1280,835,JAS39,23,250,1226,661
219,1824,1216,JAS39,1214,157,1415,264
220,3506,2337,JAS39,2171,833,3349,1216
221,1360,594,JAS39,54,159,825,401
222,1280,851,JAS39,614,346,1018,590
223,4634,3093,JAS39,572,772,3413,1759
224,4634,3093,JAS39,1003,541,3751,1313
225,2048,1497,JAS39,395,863,705,981
226,2048,1497,JAS39,1230,772,1460,865
227,900,505,JAS39,146,287,789,465
228,900,505,JAS39,325,16,766,270
229,1024,768,JAS39,450,328,595,444
230,1280,981,JAS39,390,293,853,840
231,1920,1279,JAS39,99,445,1050,711
232,1920,1279,JAS39,879,579,1812,856
233,2000,1333,JAS39,270,489,1716,986
234,1280,853,JAS39,611,57,1142,823
235,1280,851,JAS39,752,208,912,281
236,1440,960,JAS39,404,404,807,596
237,2048,1362,JAS39,88,667,855,891
238,2340,1316,JAS39,1456,196,1701,418
239,1024,576,JAS39,352,246,700,466
240,800,530,JAS39,24,98,743,378
241,2048,1365,JAS39,642,384,1211,754
242,1400,1750,JAS39,360,1220,627,1621
243,1400,1750,JAS39,789,1227,1056,1627
244,1400,1750,JAS39,901,742,1150,1096
245,1400,1750,JAS39,586,511,825,840
246,1400,1750,JAS39,299,292,531,591
247,1400,1750,JAS39,879,296,1109,594
248,1280,720,JAS39,554,367,753,492
249,4493,2995,JAS39,3095,1035,3293,1122
250,4493,2995,JAS39,1315,1065,1515,1160
251,1440,810,JAS39,1103,274,1222,308
252,1440,810,JAS39,932,297,1045,331
253,1440,810,JAS39,788,319,902,354
254,1440,810,JAS39,627,340,743,377
255,2816,2112,JAS39,1096,555,1481,695
256,1280,854,JAS39,761,501,1032,642
257,1025,683,JAS39,80,217,862,497
258,1920,1080,JAS39,30,423,660,904
259,1067,1600,JAS39,293,300,608,1463
260,2000,1125,JAS39,224,253,1419,885
261,1920,1080,JAS39,777,326,1136,621
262,2048,1220,JAS39,1556,288,2048,700
263,2048,1220,JAS39,1533,389,1655,527
264,2048,1220,JAS39,879,389,1136,525
265,950,672,JAS39,1,28,950,538
266,1024,683,JAS39,406,196,763,426
267,959,639,JAS39,47,256,633,453
268,959,639,JAS39,280,182,773,351
269,959,639,JAS39,493,142,919,291
270,1920,1279,JAS39,645,407,1641,729
271,2950,1421,JAS39,1395,671,2860,1105
272,2048,1364,JAS39,855,644,1045,697
273,2048,1364,JAS39,847,575,1056,647
274,841,1000,JAS39,284,396,528,609
275,1280,853,JAS39,108,363,247,489
276,1280,853,JAS39,360,307,502,434
277,1280,853,JAS39,577,257,723,386
278,1280,853,JAS39,815,187,964,319
279,570,350,JAS39,160,143,230,249
280,2048,1536,JAS39,766,268,1275,1020
281,1025,690,JAS39,127,283,980,562
282,1025,690,JAS39,110,162,675,353
283,1024,544,JAS39,537,182,615,250
284,1365,2048,JAS39,642,206,792,445
285,1080,1080,JAS39,136,558,629,872
286,1080,1080,JAS39,327,167,935,649
287,4414,2990,JAS39,1784,1335,2538,1550
288,1080,1080,JAS39,454,510,872,729
289,2048,1317,JAS39,1113,279,1631,424
290,2048,1317,JAS39,749,406,1249,542
291,2048,1317,JAS39,510,446,952,738
292,2048,1317,JAS39,1094,792,1432,1063
293,1460,1600,JAS39,1231,1195,1460,1328
294,1280,854,JAS39,266,511,949,731
295,1800,1200,JAS39,332,275,422,356
296,1800,1200,JAS39,228,221,317,302
297,1800,1200,JAS39,101,175,188,252
298,960,960,JAS39,97,191,862,561
299,4000,2250,JAS39,1343,989,3675,1845
300,6000,4000,JAS39,2385,1571,2948,1852
301,1300,844,JAS39,362,368,1007,714
302,1300,844,JAS39,232,190,1114,759
303,1300,844,JAS39,335,49,1063,397
304,1024,683,JAS39,47,12,946,595
305,2000,1333,JAS39,143,740,479,850
306,3071,2048,JAS39,1271,533,1920,818
307,2048,1363,JAS39,274,293,1831,958
308,1170,658,JAS39,542,264,896,430
309,1200,1600,JAS39,615,581,1200,864
310,1280,960,JAS39,351,307,948,758
311,1024,768,JAS39,421,311,582,435
312,3055,2136,JAS39,1339,422,2673,1611
313,3055,2136,JAS39,511,759,1025,1354
314,2340,1560,JAS39,1071,1030,1278,1247
315,2340,1560,JAS39,1629,782,1838,1007
316,2340,1560,JAS39,1167,663,1372,889
317,2340,1560,JAS39,959,299,1163,522
318,1237,1855,JAS39,670,159,1002,706
319,1200,675,JAS39,236,284,291,306
320,1200,675,JAS39,590,269,648,292
321,1280,720,JAS39,350,107,1214,451
322,1280,720,JAS39,1,1,456,136
323,1280,720,JAS39,479,1,1005,151
324,1024,683,JAS39,19,293,655,633
325,1440,810,JAS39,908,482,1003,556
326,1440,810,JAS39,959,482,1108,559
327,1332,850,JAS39,257,78,1223,695
328,2889,1744,JAS39,2063,525,2686,738
329,2048,1365,JAS39,973,634,1041,685
330,1280,869,JAS39,651,508,985,595
331,680,495,JAS39,35,86,653,495
332,1200,1800,JAS39,123,270,1136,1587
333,1200,1800,JAS39,70,573,433,1146
334,2000,1125,JAS39,943,142,1026,191
335,2000,1125,JAS39,160,129,247,173
336,1280,853,JAS39,73,268,1206,588
337,1280,853,JAS39,270,243,758,379
338,1280,851,JAS39,557,567,978,723
339,1024,768,JAS39,146,481,374,552
340,1109,739,JAS39,52,214,1099,460
341,1200,801,JAS39,76,177,1149,641
342,2048,1536,JAS39,804,860,903,925
343,728,532,JAS39,1,249,681,532
344,728,532,JAS39,181,129,687,339
345,728,532,JAS39,298,50,715,220
346,728,532,JAS39,384,1,727,136
347,1200,888,JAS39,137,118,1200,594
348,1200,800,JAS39,1,17,1200,781
349,683,1025,JAS39,128,46,410,933
350,1600,1131,JAS39,349,661,799,895
351,1600,1131,JAS39,926,548,1278,730
352,2885,1911,JAS39,2455,1426,2639,1625
353,2560,1707,JAS39,553,570,1076,733
354,2560,1707,JAS39,1054,688,1568,840
355,2048,1365,JAS39,1111,622,1334,862
356,900,600,JAS39,331,303,420,365
357,1617,1080,JAS39,1,1,1517,865
358,3510,2340,JAS39,1546,650,3012,978
359,2000,1335,JAS39,709,936,909,990
360,2000,1335,JAS39,140,888,337,944
361,4928,3264,JAS39,1838,1575,2044,1712
362,1800,1200,JAS39,54,390,1800,861
363,800,1206,JAS39,156,735,613,921
364,2048,1366,JAS39,302,445,2048,1056
365,1280,854,JAS39,64,88,1250,684
366,1062,708,JAS39,278,321,384,460
367,481,640,JAS39,66,58,429,584
368,1280,853,JAS39,625,201,938,494
369,1000,667,JAS39,301,449,406,488
370,1000,667,JAS39,739,304,830,334
371,4023,2682,JAS39,3489,1573,3791,1876
372,4023,2682,JAS39,3091,1772,3404,2110
373,4023,2682,JAS39,2545,1978,2877,2339
374,4023,2682,JAS39,1961,2173,2310,2593
375,1280,856,JAS39,21,90,1263,719
376,1170,743,JAS39,658,239,790,364
377,2048,1536,JAS39,1474,231,1575,320
378,1200,800,JAS39,280,199,997,603
379,1200,675,JAS39,194,218,1148,468
380,960,352,JAS39,171,79,841,258
381,2340,1316,JAS39,305,445,769,737
382,2340,1316,JAS39,776,157,1233,450
383,2340,1316,JAS39,963,468,1415,755
384,2340,1316,JAS39,537,803,991,1089
385,2048,1152,JAS39,1,218,2048,1152
386,1280,852,JAS39,227,299,1189,564
387,5184,3456,JAS39,524,996,1144,1438
388,5184,3456,JAS39,475,2280,1055,2647
389,5184,3456,JAS39,1876,2656,2450,3019
390,5184,3456,JAS39,3927,2112,4539,2488
391,1024,1536,JAS39,394,1071,767,1330
392,2048,899,JAS39,251,188,1634,530
393,2048,899,JAS39,1178,423,1905,657
394,1200,800,JAS39,243,128,399,224
395,1200,800,JAS39,319,309,456,388
396,1200,800,JAS39,77,71,1087,668
397,1763,992,JAS39,1457,625,1546,650
398,1763,992,JAS39,1079,568,1162,593
399,1763,992,JAS39,792,518,874,544
400,1763,992,JAS39,565,471,646,498
401,1088,725,V22,209,201,836,616
402,1200,800,V22,410,524,613,601
403,1200,800,V22,36,1,1173,570
404,1200,800,V22,314,145,1012,407
405,720,720,V22,280,42,720,370
406,900,1200,V22,1,496,710,826
407,900,1200,V22,417,642,847,778
408,1200,800,V22,525,482,841,596
409,2621,1747,V22,1,1,2557,1174
410,2621,1747,V22,2021,479,2621,972
411,1200,1200,V22,280,317,323,339
412,1200,800,V22,610,153,963,587
413,1200,900,V22,423,402,565,467
414,1200,1200,V22,647,521,973,768
415,5618,3745,V22,2370,2512,3193,2883
416,1200,675,V22,671,339,698,352
417,2048,1365,V22,220,1053,288,1091
418,2048,1365,V22,287,968,369,1009
419,2048,1365,V22,359,883,447,925
420,2048,1365,V22,459,767,542,816
421,2048,1365,V22,594,616,699,668
422,2048,1365,V22,792,434,907,501
423,2048,1365,V22,952,247,1076,315
424,2048,1365,V22,1110,342,1212,408
425,2048,1365,V22,1294,523,1403,577
426,2048,1365,V22,1518,693,1611,746
427,2048,1365,V22,1679,837,1776,885
428,2048,1365,V22,1812,959,1900,1003
429,911,1139,V22,41,1,845,1139
430,1024,732,V22,357,78,1006,346
431,1200,800,V22,1,1,1141,718
432,1200,900,V22,566,497,609,526
433,2881,1921,V22,1,41,2862,1368
434,2881,1921,V22,1048,121,2871,837
435,2881,1921,V22,1939,91,2849,480
436,1024,576,V22,572,427,610,445
437,6627,4418,V22,1345,859,2931,1775
438,1200,800,V22,548,413,1104,609
439,1200,800,V22,192,381,947,601
440,1000,667,V22,669,304,750,341
441,1000,667,V22,469,291,547,325
442,1000,667,V22,379,249,449,279
443,900,1200,V22,453,574,476,587
444,900,1200,V22,433,532,460,547
445,900,1200,V22,445,455,475,473
446,1200,1200,V22,502,822,652,891
447,1200,800,V22,216,138,930,506
448,1280,698,V22,1149,199,1230,309
449,1280,698,V22,780,376,865,499
450,1280,698,V22,419,395,497,509
451,1280,698,V22,414,215,493,329
452,1280,698,V22,63,404,140,517
453,1280,698,V22,55,228,133,341
454,1200,900,V22,310,627,500,701
455,1200,900,V22,598,603,765,662
456,5760,3840,V22,3394,1201,3706,1377
457,5760,3840,V22,1008,388,1715,777
458,1168,876,V22,96,120,1008,707
459,1200,800,V22,508,400,563,428
460,1200,675,V22,410,150,867,440
461,2500,1685,V22,1099,293,1488,538
462,1024,820,V22,341,348,705,502
463,1200,675,V22,800,279,1120,414
464,1200,900,V22,296,210,667,382
465,1124,765,V22,744,32,1115,192
466,1124,765,V22,380,44,1124,337
467,1124,765,V22,1,12,1121,553
468,1024,576,V22,190,307,376,414
469,1024,576,V22,709,337,887,409
470,2400,1224,V22,1,1,2400,1224
471,1200,800,V22,300,34,1200,454
472,1024,683,V22,19,77,715,516
473,1024,683,V22,671,365,883,508
474,2000,1331,V22,716,564,1297,833
475,1199,797,V22,564,336,731,489
476,1024,683,V22,415,135,886,377
477,1200,675,V22,559,297,579,312
478,1200,675,V22,1034,265,1055,282
479,4096,2734,V22,525,1844,1547,2196
480,1200,711,V22,492,697,508,710
481,1200,711,V22,299,685,317,698
482,600,400,V22,367,127,593,264
483,1200,1800,V22,445,211,949,509
484,1200,799,V22,37,1,1200,799
485,358,358,V22,172,157,204,200
486,4940,3529,V22,392,249,1095,658
487,4940,3529,V22,2537,742,2776,898
488,1200,799,V22,34,235,637,494
489,1920,1153,V22,856,58,1797,855
490,1000,667,V22,798,335,1000,452
491,1000,667,V22,413,232,1000,428
492,1199,691,V22,561,240,719,429
493,1088,725,V22,162,4,974,652
494,1088,725,V22,705,620,886,681
495,1000,667,V22,483,301,570,346
496,1000,667,V22,587,220,664,268
497,1000,667,V22,652,226,719,260
498,1000,667,V22,794,252,867,283
499,1000,667,V22,695,233,772,280
500,1000,667,V22,134,224,201,259
501,1000,667,V22,237,195,298,229
502,1000,667,V22,435,204,498,241
503,4096,2731,V22,1168,988,3036,2284
504,1200,800,V22,326,221,768,472
505,1000,563,V22,502,248,704,337
506,1280,853,V22,277,231,1280,559
507,2048,1067,V22,680,170,2048,633
508,4096,2617,V22,1710,929,2167,1089
509,1059,848,V22,506,172,705,247
510,900,600,V22,220,309,388,362
511,1000,656,V22,307,226,359,249
512,1000,656,V22,632,193,682,215
513,1024,768,V22,303,242,507,354
514,1200,800,V22,1,1,1200,631
515,1000,667,V22,604,194,1000,415
516,871,1024,V22,300,803,487,876
517,1983,1322,V22,222,233,725,533
518,1583,890,V22,1,377,585,605
519,2481,1654,V22,627,359,1788,930
520,1280,796,V22,474,316,1254,564
521,1280,796,V22,18,424,689,673
522,675,1200,V22,1,1,675,821
523,1442,722,V22,375,33,1406,620
524,3931,2616,V22,1407,1093,1818,1260
525,900,1200,V22,1,60,755,823
526,900,1200,V22,93,420,900,736
527,4096,2731,V22,94,917,4070,2154
528,806,1200,V22,322,796,344,811
529,3559,2542,V22,2154,419,2790,821
530,900,1200,V22,498,287,593,330
531,675,1200,V22,309,623,333,638
532,2250,1500,V22,15,435,1490,1031
533,959,1175,V22,416,479,507,549
534,1200,801,V22,868,69,1045,272
535,1200,800,V22,436,263,723,396
536,1200,900,V22,1,45,1200,900
537,1088,725,V22,162,225,949,563
538,1200,675,V22,492,291,721,433
539,1200,901,V22,1,416,672,684
540,1200,901,V22,1,222,1021,811
541,900,1200,V22,122,160,677,438
542,1200,800,V22,674,333,1200,569
543,1200,800,V22,1,443,242,553
544,1200,900,V22,684,446,712,459
545,1200,900,V22,454,320,500,362
546,900,1200,V22,142,97,165,120
547,900,1200,V22,218,54,244,83
548,1024,953,V22,289,580,382,626
549,1024,953,V22,488,488,682,586
550,1200,900,V22,1,320,49,375
551,2048,1365,V22,120,253,1995,997
552,2048,1365,V22,659,188,1602,603
553,3242,2109,V22,699,699,1986,1321
554,1024,768,V22,402,213,642,329
555,1200,900,V22,244,494,275,526
556,1200,900,V22,859,393,896,431
557,1280,853,V22,464,224,1171,632
558,1200,675,V22,561,356,603,375
559,768,1024,V22,368,437,399,471
560,900,1200,V22,332,588,735,740
561,1200,900,V22,628,413,835,480
562,1200,675,V22,572,318,612,355
563,1400,992,V22,535,207,1011,428
564,1000,666,V22,1,72,1000,566
565,1000,667,V22,68,315,142,369
566,1000,667,V22,250,380,327,449
567,1000,667,V22,887,214,952,274
568,1000,667,V22,649,220,716,275
569,1200,900,V22,615,472,651,499
570,1080,720,V22,1,111,993,720
571,1873,1249,V22,419,1,1778,889
572,1088,725,V22,154,91,766,478
573,768,1024,V22,328,506,345,515
574,1024,576,V22,435,1,823,286
575,1200,800,V22,470,589,678,696
576,900,1200,V22,466,481,554,523
577,1024,576,V22,709,133,725,148
578,1332,1368,V22,35,473,1204,1196
579,900,1200,V22,380,601,692,769
580,1200,800,V22,354,556,849,721
581,1200,800,V22,313,56,479,131
582,1200,800,V22,73,268,775,621
583,1200,900,V22,101,511,180,578
584,1200,900,V22,1015,502,1080,569
585,1498,2038,V22,78,493,1417,1361
586,1498,2038,V22,680,1512,1295,1791
587,1000,667,V22,297,21,851,335
588,1200,900,V22,848,478,922,521
589,680,510,V22,169,238,371,319
590,555,1200,V22,268,636,284,649
591,4288,2848,V22,468,1126,2292,1880
592,4288,2848,V22,1301,1061,3645,2196
593,4288,2848,V22,2347,805,3870,1497
594,4096,2730,V22,2049,717,2452,858
595,4747,3165,V22,1,1,4066,1590
596,1280,720,V22,279,1,1090,461
597,1200,900,V22,98,440,271,565
598,2306,1753,V22,401,114,1430,1373
599,1200,900,V22,480,431,737,549
600,4096,2731,V22,560,1936,934,2117
601,4096,2731,V22,816,1767,1707,2120
602,4096,2731,V22,3083,1843,3759,2113
603,4096,2731,V22,235,568,3853,2122
604,476,476,V22,201,204,265,267
605,1200,900,V22,346,506,518,597
606,1200,900,V22,422,433,514,496
607,1200,856,V22,128,548,709,745
608,1200,856,V22,129,425,724,602
609,1200,856,V22,142,364,720,504
610,1200,856,V22,184,251,677,379
611,1200,856,V22,152,304,715,441
612,1200,856,V22,214,202,663,319
613,1200,856,V22,198,152,678,268
614,1200,856,V22,243,91,620,212
615,1200,856,V22,858,427,1200,618
616,1200,856,V22,900,551,1200,757
617,1200,675,V22,475,273,749,407
618,900,1200,V22,367,739,675,911
619,5172,3448,V22,931,258,3783,1712
620,1200,900,V22,488,363,606,435
621,1200,1025,V22,592,549,672,612
622,1167,834,V22,1,195,1160,620
623,1167,834,V22,428,89,1129,306
624,1167,834,V22,594,43,1075,177
625,1200,900,V22,387,174,738,579
626,1000,665,V22,735,205,852,242
627,1000,665,V22,83,203,205,245
628,4001,2251,V22,1005,459,1327,589
629,4001,2251,V22,1079,561,1595,814
630,1280,828,V22,794,302,1224,526
631,2100,1400,V22,1,76,1937,1083
632,1920,1280,V22,454,450,1432,866
633,1920,1080,V22,308,702,391,732
634,1920,1080,V22,1160,517,1245,548
635,1920,1080,V22,1656,255,1735,286
636,2560,1707,V22,868,601,2138,1111
637,3000,2000,V22,1,479,3000,1625
638,1024,732,V22,410,1,841,236
639,1024,732,V22,638,458,872,584
640,1024,732,V22,112,486,269,562
641,4692,2694,V22,1,1066,1307,2016
642,4692,2694,V22,1361,887,3337,1571
643,4692,2694,V22,2459,352,4633,1295
644,4692,2694,V22,3569,659,4692,1111
645,1536,864,V22,56,417,1132,720
646,1280,1006,V22,703,173,833,231
647,900,1200,V22,403,488,485,539
648,1280,960,V22,855,532,1280,879
649,1088,725,V22,154,28,695,269
650,2544,1696,V22,1,1,2544,1640
651,1200,675,V22,86,193,1147,479
652,1200,900,V22,377,248,882,505
653,960,570,V22,1,38,960,368
654,1200,675,V22,501,240,564,275
655,1024,576,V22,659,160,733,185
656,4096,2731,V22,1307,1618,1921,1950
657,4096,2731,V22,1261,327,3198,1703
658,1000,667,V22,33,240,348,352
659,1000,667,V22,607,328,678,355
660,1200,800,V22,536,187,854,293
661,1200,800,V22,120,532,241,590
662,1200,800,V22,1,1,1200,707
663,1200,900,V22,246,122,677,713
664,1200,900,V22,409,457,1110,709
665,1200,900,V22,559,507,578,526
666,900,1200,V22,374,659,504,735
667,1024,682,V22,345,132,958,393
668,1088,612,V22,192,65,603,278
669,900,1200,V22,407,616,495,692
670,1200,800,V22,54,1,1200,496
671,4096,2731,V22,933,909,1066,972
672,2397,1532,V22,1224,531,2288,1509
673,4493,2995,V22,3557,1124,4262,1387
674,4493,2995,V22,305,1066,955,1353
675,680,510,V22,140,178,528,334
676,3074,2049,V22,2267,1465,2462,1610
677,3074,2049,V22,1906,1241,2098,1353
678,3074,2049,V22,1508,1085,1692,1187
679,3074,2049,V22,1247,960,1426,1062
680,3074,2049,V22,1002,842,1177,943
681,857,1200,V22,224,506,452,576
682,1200,800,V22,96,134,993,432
683,1200,800,V22,360,113,1067,349
684,1024,768,V22,18,1,1024,580
685,1200,900,V22,816,367,854,385
686,4300,2867,V22,1404,264,1857,509
687,800,1200,V22,369,66,642,157
688,1024,681,V22,56,34,839,433
689,1024,681,V22,365,120,587,227
690,900,1200,V22,226,525,532,690
691,900,1200,V22,618,540,818,622
